'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
503.250000,36.367396,8.517240,9.313885,23.860075,4.085824
504.900000,31.227575,9.144761,9.043705,20.316989,3.575774
506.550000,33.911620,9.716224,8.423290,21.554216,3.840972
508.200000,38.189017,10.300615,9.723071,23.150462,4.722769
509.850000,33.872766,9.586522,10.684244,19.456207,5.889328
511.500000,30.193120,8.493683,9.879643,18.399872,5.937524
513.150000,27.833762,8.239124,8.518323,23.393650,5.643450
514.800000,27.414046,8.877160,8.239713,26.584678,6.138730
516.450000,30.619800,11.211146,7.952567,24.834954,5.756185
518.100000,32.308188,11.972920,7.794334,21.485438,5.698254
519.750000,32.739119,10.291034,9.275702,21.310151,6.877990
521.400000,31.438773,9.796402,10.793568,22.631626,6.131840
523.050000,29.383429,9.867160,10.451852,26.565767,4.876762
524.700000,24.932926,10.789775,9.370003,26.007230,5.501025
526.350000,23.197466,12.267965,9.225886,20.107889,6.081300
528.000000,29.031352,10.874711,9.079589,21.754112,5.416566
529.650000,30.782432,9.342605,8.491838,22.305648,4.770125
531.300000,28.281905,10.266146,9.383284,21.286490,5.265985
532.950000,31.470388,11.385054,9.525795,25.390043,5.908062
534.600000,36.525984,13.133979,9.007990,29.271676,5.658146
536.250000,36.193022,14.577628,10.020518,29.223643,5.674446
537.900000,34.222860,13.302410,10.516071,26.082316,5.469978
539.550000,35.347910,11.592944,9.951223,23.988834,4.302629
541.200000,36.200687,12.482210,9.257020,27.605438,4.398695
542.850000,33.264402,14.424688,9.423256,35.618119,5.696935
544.500000,33.522972,13.511745,9.598616,35.002703,5.941283
546.150000,35.830239,10.999459,9.075576,25.447374,5.784193
547.800000,32.960076,10.160386,9.036730,23.945040,6.015165
549.450000,31.352831,10.988655,9.548832,30.098157,6.097045
551.100000,31.540703,12.150013,9.391614,27.062734,6.240034
552.750000,32.641112,11.931789,9.596018,20.741646,6.651308
554.400000,34.421296,10.261149,10.480967,21.332964,7.427085
556.050000,31.021342,8.613109,9.999800,25.397416,7.622747
