'freq[cm-1]','tip3p[200ps/hann/30]', 'spce/qspcfw[200ps/hann/30]', 'spce/spcfw[200ps/hann/30]', 'spce[200ps/hann/30]', 'opc3pol[200ps/hann/30]', 'pbe[45ps/hann/30]'
226.000000,403.381409,112.260179,92.060846,251.596645,81.141603,16.328912
227.000000,405.813131,112.890267,92.420937,252.957884,81.295986,16.339957
228.000000,408.281788,113.537417,92.788709,254.324018,81.456786,16.350734
229.000000,410.708568,114.178657,93.148052,255.645038,81.609383,16.361292
230.000000,413.163459,114.835783,93.515316,256.970318,81.768544,16.369454
231.000000,415.597921,115.493821,93.880377,258.268651,81.924437,16.380012
232.000000,417.999987,116.150075,94.238933,259.524685,82.075834,16.394418
233.000000,420.422058,116.819529,94.606604,260.782174,82.234502,16.405370
234.000000,422.791960,117.482730,94.964417,261.991580,82.386629,16.416366
235.000000,425.182034,118.159103,95.331254,263.202659,82.546177,16.427450
236.000000,427.539957,118.835539,95.695075,264.384709,82.704103,16.438664
237.000000,429.849278,119.506472,96.051975,265.526326,82.859074,16.447615
238.000000,432.175338,120.191578,96.418344,266.669259,83.021917,16.459518
239.000000,434.429636,120.865409,96.774406,267.765118,83.179575,16.471615
240.000000,436.695985,121.553054,97.138992,268.864071,83.345578,16.489078
241.000000,438.914708,122.236477,97.500453,269.936342,83.511758,16.502411
242.000000,441.072060,122.911792,97.855245,270.968630,83.675287,16.516120
243.000000,443.227732,123.597288,98.218151,272.009373,83.848046,16.530235
244.000000,445.335512,124.279301,98.577847,273.024973,84.020350,16.542279
245.000000,447.382534,124.954379,98.932749,274.009845,84.193424,16.557609
246.000000,449.402738,125.631206,99.290075,274.989795,84.371118,16.573371
247.000000,451.349929,126.297730,99.640298,275.935182,84.546444,16.595700
248.000000,453.283928,126.971453,99.999465,276.888292,84.732818,16.613286
249.000000,455.159785,127.640422,100.356239,277.823392,84.918700,16.631473
250.000000,456.971181,128.299519,100.707234,278.734581,85.105254,16.650281
251.000000,458.746185,128.960407,101.062317,279.647754,85.296406,16.669728
252.000000,460.445264,129.606780,101.408561,280.531682,85.485313,16.687152
253.000000,462.134480,130.261485,101.764627,281.431711,85.685706,16.708271
254.000000,463.770844,130.907691,102.116236,282.317742,85.885789,16.734923
255.000000,465.332845,131.541610,102.464610,283.188653,86.086258,16.758039
256.000000,466.874054,132.174215,102.815795,284.068436,86.291042,16.781900
257.000000,468.325873,132.791807,103.160075,284.924806,86.493567,16.806522
258.000000,469.790330,133.415471,103.516255,285.813156,86.707043,16.831916
259.000000,471.197511,134.030473,103.870710,286.696015,86.921196,16.855366
260.000000,472.522598,134.629075,104.217177,287.559553,87.131271,16.882688
261.000000,473.857321,135.233787,104.574892,288.455140,87.353506,16.910760
262.000000,475.104970,135.817643,104.922256,289.326697,87.567563,16.943056
263.000000,476.362648,136.407917,105.280411,290.236499,87.792027,16.973154
264.000000,477.574145,136.987187,105.636624,291.153207,88.013125,17.004081
265.000000,478.727244,137.549669,105.988178,292.050185,88.232131,17.035841
266.000000,479.891803,138.119146,106.353266,292.996960,88.460858,17.068437
267.000000,480.994719,138.668193,106.709406,293.919118,88.683274,17.099102
268.000000,482.116566,139.222244,107.080117,294.888406,88.914986,17.133730
269.000000,483.216418,139.767446,107.451132,295.867402,89.145384,17.172606
270.000000,484.272915,140.297997,107.817541,296.841446,89.371268,17.209310
271.000000,485.369295,140.835091,108.198520,297.859751,89.605965,17.246855
272.000000,486.409690,141.352982,108.572003,298.867987,89.833327,17.285240
273.000000,487.502502,141.878224,108.962130,299.920784,90.069341,17.324458
274.000000,488.581541,142.395809,109.353326,300.987353,90.304236,17.361300
275.000000,489.637169,142.896734,109.742638,302.055609,90.533136,17.402579
276.000000,490.746261,143.408580,110.148003,303.177411,90.770629,17.448954
277.000000,491.855283,143.911221,110.556505,304.316410,91.005130,17.492356
278.000000,492.968268,144.404785,110.967738,305.465515,91.237596,17.536562
279.000000,494.123275,144.900585,111.390327,306.655175,91.471977,17.581558
280.000000,495.268984,145.383508,111.811903,307.846735,91.700884,17.627330
281.000000,496.495534,145.878737,112.253485,309.093073,91.938564,17.670547
282.000000,497.734868,146.367834,112.699508,310.361026,92.173257,17.718243
283.000000,498.988501,146.848916,113.148651,311.640677,92.405707,17.772388
284.000000,500.297665,147.332905,113.611114,312.965944,92.640674,17.822218
285.000000,501.609143,147.807581,114.073619,314.292742,92.868913,17.872756
286.000000,503.015142,148.294443,114.557327,315.683836,93.107809,17.923978
287.000000,504.443032,148.779067,115.046196,317.098336,93.342449,17.975858
288.000000,505.901779,149.259067,115.539939,318.521716,93.574733,18.028361
289.000000,507.422332,149.747118,116.048001,319.991327,93.809294,18.078433
290.000000,508.955986,150.225871,116.557051,321.463385,94.038322,18.132465
291.000000,510.593844,150.721460,117.088291,322.995305,94.276203,18.193600
292.000000,512.264029,151.214615,117.625323,324.548367,94.510742,18.249467
293.000000,513.951017,151.701975,118.163604,326.111633,94.739845,18.305815
294.000000,515.741946,152.207898,118.723282,327.736071,94.978264,18.362602
295.000000,517.532263,152.702814,119.280383,329.356884,95.208187,18.419779
296.000000,519.420395,153.218249,119.859126,331.037434,95.447198,18.474212
297.000000,521.346581,153.734728,120.444381,332.737430,95.684083,18.532413
298.000000,523.289868,154.247494,121.030185,334.444276,95.915951,18.597518
299.000000,525.336307,154.782438,121.637600,336.213156,96.158124,18.656993
300.000000,527.379025,155.308757,122.240619,337.975720,96.391398,18.716645
301.000000,529.521880,155.857777,122.864729,339.801042,96.636657,18.776418
302.000000,531.697408,156.410155,123.493163,341.648031,96.880742,18.836253
303.000000,533.883170,156.960836,124.123156,343.495256,97.119040,18.892803
304.000000,536.170961,157.532205,124.773266,345.418295,97.369845,18.953004
305.000000,538.447558,158.099191,125.418918,347.321395,97.611771,19.013018
306.000000,540.818858,158.688797,126.083777,349.298018,97.865666,19.079901
307.000000,543.215505,159.285406,126.752568,351.286044,98.118922,19.140396
308.000000,545.623363,159.881223,127.419772,353.275675,98.368612,19.200640
309.000000,548.122807,160.502399,128.106772,355.327806,98.631672,19.260579
310.000000,550.649233,161.130552,128.796291,357.394779,98.893733,19.316884
311.000000,553.189288,161.761874,129.486570,359.471407,99.156771,19.376469
312.000000,555.789496,162.412052,130.186488,361.584298,99.425584,19.435525
313.000000,558.382252,163.060316,130.882993,363.699002,99.691539,19.500878
314.000000,561.054973,163.738152,131.596107,365.874057,99.972594,19.559743
315.000000,563.733386,164.422781,132.309342,368.064910,100.253114,19.618070
316.000000,566.429840,165.109793,133.023762,370.260472,100.535849,19.675827
317.000000,569.162995,165.815353,133.745019,372.494742,100.824987,19.732990
318.000000,571.890866,166.519522,134.462003,374.723003,101.112913,19.786417
319.000000,574.699481,167.250579,135.194752,377.013585,101.414697,19.842737
320.000000,577.518585,167.987890,135.926487,379.319023,101.716719,19.904407
321.000000,580.328068,168.729384,136.656056,381.621715,102.022684,19.960226
322.000000,583.181187,169.490061,137.390439,383.963683,102.335267,20.015470
323.000000,586.007150,170.246326,138.118764,386.289783,102.648171,20.070162
324.000000,588.904984,171.032020,138.858885,388.681445,102.975592,20.124335
325.000000,591.805697,171.817804,139.597150,391.078959,103.305415,20.174812
326.000000,594.666826,172.604623,140.328715,393.460117,103.633758,20.228486
327.000000,597.602126,173.414726,141.075020,395.907824,103.978067,20.281722
328.000000,600.473897,174.218753,141.806623,398.321737,104.317262,20.340766
329.000000,603.416372,175.047001,142.552441,400.793949,104.672508,20.394245
330.000000,606.331593,175.879370,143.294097,403.261330,105.030403,20.447625
331.000000,609.211049,176.704846,144.024939,405.718674,105.385238,20.501004
332.000000,612.146028,177.555021,144.771331,408.220489,105.758648,20.554489
333.000000,615.023365,178.392088,145.499958,410.697837,106.124564,20.604798
334.000000,617.950715,179.252669,146.242921,413.220556,106.508311,20.659278
335.000000,620.858766,180.112616,146.979300,415.739390,106.892643,20.721270
336.000000,623.715707,180.967091,147.702546,418.241346,107.275237,20.777733
337.000000,626.627363,181.843055,148.439098,420.796004,107.671591,20.835004
338.000000,629.459497,182.704294,149.157380,423.312916,108.063938,20.893232
339.000000,632.336783,183.585343,149.888483,425.880506,108.468598,20.952571
340.000000,635.169752,184.461548,150.613045,428.435704,108.874780,21.010153
341.000000,637.959715,185.331755,151.323641,430.969865,109.278746,21.072569
342.000000,640.787367,186.220822,152.047444,433.542169,109.696679,21.144190
343.000000,643.574650,187.108171,152.763371,436.109292,110.115138,21.210927
344.000000,646.331434,187.989377,153.468675,438.662375,110.535129,21.279629
345.000000,649.074306,188.878736,154.173547,441.231595,110.962156,21.350451
346.000000,651.758041,189.754876,154.864391,443.772728,111.385643,21.423543
347.000000,654.492535,190.650577,155.566349,446.347290,111.822934,21.496009
348.000000,657.185682,191.538756,156.258568,448.915730,112.260651,21.574446
